,DATE,SEXRNSA
188,2005-09-01,158.99455
189,2005-10-01,161.06011
190,2005-11-01,162.72606000000002
191,2005-12-01,164.1977
192,2006-01-01,165.49081
193,2006-02-01,167.08682
194,2006-03-01,169.45548
195,2006-04-01,172.28387
196,2006-05-01,174.83588999999998
197,2006-06-01,177.80726
198,2006-07-01,179.95718
199,2006-08-01,181.84147
200,2006-09-01,183.07564
201,2006-10-01,183.78728999999998
202,2006-11-01,183.87933
203,2006-12-01,183.97305
204,2007-01-01,183.91548
205,2007-02-01,184.84833
206,2007-03-01,186.44378999999998
207,2007-04-01,188.88916
208,2007-05-01,190.67911999999998
209,2007-06-01,191.91898
210,2007-07-01,192.30052
211,2007-08-01,192.14286
212,2007-09-01,191.65999
213,2007-10-01,189.86086
214,2007-11-01,187.13599
215,2007-12-01,184.87906
216,2008-01-01,181.61614
217,2008-02-01,179.84646999999998
218,2008-03-01,178.29175
219,2008-04-01,179.56658000000002
220,2008-05-01,178.67346
221,2008-06-01,178.27778999999998
222,2008-07-01,176.51459
223,2008-08-01,175.23543
224,2008-09-01,172.81588
225,2008-10-01,170.44894
226,2008-11-01,166.23251000000002
227,2008-12-01,160.19453000000001
228,2009-01-01,154.3807
229,2009-02-01,152.13181
230,2009-03-01,149.04664
231,2009-04-01,149.37675
232,2009-05-01,148.95705
233,2009-06-01,149.52933000000002
234,2009-07-01,149.44232
235,2009-08-01,149.5408
236,2009-09-01,148.93511999999998
237,2009-10-01,149.25642
238,2009-11-01,148.56454
239,2009-12-01,147.54447
240,2010-01-01,145.09198
241,2010-02-01,143.5633
242,2010-03-01,143.71581
243,2010-04-01,145.13879
244,2010-05-01,146.81804
245,2010-06-01,146.83092
246,2010-07-01,147.04277
247,2010-08-01,145.93444
248,2010-09-01,145.06573999999998
249,2010-10-01,143.13456000000002
250,2010-11-01,141.57211999999998
251,2010-12-01,138.69828
252,2011-01-01,135.40993
253,2011-02-01,132.85197
254,2011-03-01,132.97489
255,2011-04-01,135.13671000000002
256,2011-05-01,136.55573
257,2011-06-01,137.46151
258,2011-07-01,137.56617
259,2011-08-01,137.09181999999998
260,2011-09-01,135.58793
261,2011-10-01,134.22153
262,2011-11-01,132.65035
263,2011-12-01,130.98613
264,2012-01-01,130.03226
265,2012-02-01,128.98723999999999
266,2012-03-01,131.22543000000002
267,2012-04-01,133.83546
268,2012-05-01,137.37005
269,2012-06-01,139.8938
270,2012-07-01,141.77756000000002
271,2012-08-01,141.69242
272,2012-09-01,142.0927
273,2012-10-01,141.82232
274,2012-11-01,142.53375
275,2012-12-01,141.75343999999998
276,2013-01-01,141.29605
277,2013-02-01,140.97359
278,2013-03-01,145.19632
279,2013-04-01,149.05003
280,2013-05-01,153.74372
281,2013-06-01,156.46291000000002
282,2013-07-01,159.49774
283,2013-08-01,160.36319
284,2013-09-01,160.86754
285,2013-10-01,160.38837
286,2013-11-01,160.1687
287,2013-12-01,159.31602
288,2014-01-01,158.08962
289,2014-02-01,159.04558
290,2014-03-01,162.049743104772
291,2014-04-01,165.718663579881
292,2014-05-01,168.100898799591
293,2014-06-01,169.937193618398
294,2014-07-01,170.874078927609
295,2014-08-01,170.853487084214
296,2014-09-01,170.30862129291
297,2014-10-01,170.22398852612199
298,2014-11-01,169.663632866726
299,2014-12-01,169.749650040474
300,2015-01-01,168.83321135714502
301,2015-02-01,170.28123326988998
302,2015-03-01,174.124308268191
303,2015-04-01,178.03973063165
304,2015-05-01,180.54364844639
305,2015-06-01,182.42804898679
306,2015-07-01,183.19934760609797
307,2015-08-01,183.83366738563402
308,2015-09-01,184.25840924988398
309,2015-10-01,185.16457621443502
310,2015-11-01,185.962168884829
311,2015-12-01,186.265721893595
312,2016-01-01,186.488466196758
313,2016-02-01,188.529072375699
314,2016-03-01,193.02041771598599
315,2016-04-01,197.006851443479
316,2016-05-01,199.81825282101397
317,2016-06-01,202.54570879465803
318,2016-07-01,203.704225072763
319,2016-08-01,204.55499639655
320,2016-09-01,204.54550885234403
321,2016-10-01,204.80629046284
322,2016-11-01,205.12604006493
323,2016-12-01,206.284227183338
324,2017-01-01,207.49984298769797
325,2017-02-01,211.317572689333
326,2017-03-01,216.812942235843
327,2017-04-01,222.484383176722
328,2017-05-01,226.425470315376
329,2017-06-01,229.64259974407798
330,2017-07-01,231.147953531099
331,2017-08-01,231.56519249049302
332,2017-09-01,230.932073175734
333,2017-10-01,230.76537315156102
334,2017-11-01,231.189485739921
335,2017-12-01,232.507663833385
336,2018-01-01,234.140141031603
337,2018-02-01,238.21454752869099
338,2018-03-01,244.980502548952
339,2018-04-01,251.56751086807998
340,2018-05-01,257.164552036279
341,2018-06-01,258.957978645141
342,2018-07-01,257.792269259541
343,2018-08-01,253.675865857588
344,2018-09-01,250.249526397968
345,2018-10-01,247.643346410317
346,2018-11-01,245.825707201394
347,2018-12-01,244.28437819572898
